ID,sample_index,steer_label,motion_status,reviewed,valid_steer
REVIEW_001,0,UNKNOWN,UNKNOWN,0,0
REVIEW_001,1,UNKNOWN,UNKNOWN,0,0
REVIEW_001,2,UNKNOWN,UNKNOWN,0,0
REVIEW_001,3,UNKNOWN,UNKNOWN,0,0
REVIEW_001,4,UNKNOWN,UNKNOWN,0,0
REVIEW_001,5,UNKNOWN,UNKNOWN,0,0
REVIEW_001,6,UNKNOWN,UNKNOWN,0,0
REVIEW_001,7,UNKNOWN,UNKNOWN,0,0
REVIEW_001,8,UNKNOWN,UNKNOWN,0,0
REVIEW_001,9,UNKNOWN,UNKNOWN,0,0
REVIEW_001,10,UNKNOWN,UNKNOWN,0,0
REVIEW_001,11,UNKNOWN,UNKNOWN,0,0
REVIEW_001,12,UNKNOWN,UNKNOWN,0,0
REVIEW_001,13,UNKNOWN,UNKNOWN,0,0
REVIEW_001,14,UNKNOWN,UNKNOWN,0,0
REVIEW_001,15,UNKNOWN,UNKNOWN,0,0
REVIEW_001,16,UNKNOWN,UNKNOWN,0,0
REVIEW_001,17,UNKNOWN,UNKNOWN,0,0
REVIEW_001,18,UNKNOWN,UNKNOWN,0,0
REVIEW_001,19,UNKNOWN,UNKNOWN,0,0
REVIEW_001,20,UNKNOWN,UNKNOWN,0,0
REVIEW_001,21,UNKNOWN,UNKNOWN,0,0
REVIEW_001,22,UNKNOWN,UNKNOWN,0,0
REVIEW_001,23,UNKNOWN,UNKNOWN,0,0
REVIEW_001,24,UNKNOWN,UNKNOWN,0,0
REVIEW_001,25,UNKNOWN,UNKNOWN,0,0
REVIEW_001,26,UNKNOWN,UNKNOWN,0,0
REVIEW_001,27,UNKNOWN,UNKNOWN,0,0
REVIEW_001,28,UNKNOWN,UNKNOWN,0,0
REVIEW_001,29,UNKNOWN,UNKNOWN,0,0
REVIEW_001,30,UNKNOWN,UNKNOWN,0,0
REVIEW_001,31,UNKNOWN,UNKNOWN,0,0
REVIEW_001,32,UNKNOWN,UNKNOWN,0,0
REVIEW_001,33,UNKNOWN,UNKNOWN,0,0
REVIEW_001,34,UNKNOWN,UNKNOWN,0,0
REVIEW_001,35,UNKNOWN,UNKNOWN,0,0
REVIEW_001,36,UNKNOWN,UNKNOWN,0,0
REVIEW_001,37,UNKNOWN,UNKNOWN,0,0
REVIEW_001,38,UNKNOWN,UNKNOWN,0,0
REVIEW_001,39,UNKNOWN,UNKNOWN,0,0
REVIEW_001,40,UNKNOWN,UNKNOWN,0,0
REVIEW_001,41,UNKNOWN,UNKNOWN,0,0
REVIEW_001,42,UNKNOWN,UNKNOWN,0,0
REVIEW_001,43,UNKNOWN,UNKNOWN,0,0
REVIEW_001,44,UNKNOWN,UNKNOWN,0,0
REVIEW_001,45,UNKNOWN,UNKNOWN,0,0
REVIEW_001,46,UNKNOWN,UNKNOWN,0,0
REVIEW_001,47,UNKNOWN,UNKNOWN,0,0
REVIEW_001,48,UNKNOWN,UNKNOWN,0,0
REVIEW_001,49,UNKNOWN,UNKNOWN,0,0
REVIEW_002,0,UNKNOWN,UNKNOWN,0,0
REVIEW_002,1,UNKNOWN,UNKNOWN,0,0
REVIEW_002,2,UNKNOWN,UNKNOWN,0,0
REVIEW_002,3,UNKNOWN,UNKNOWN,0,0
REVIEW_002,4,UNKNOWN,UNKNOWN,0,0
REVIEW_002,5,UNKNOWN,UNKNOWN,0,0
REVIEW_002,6,UNKNOWN,UNKNOWN,0,0
REVIEW_002,7,UNKNOWN,UNKNOWN,0,0
REVIEW_002,8,UNKNOWN,UNKNOWN,0,0
REVIEW_002,9,UNKNOWN,UNKNOWN,0,0
REVIEW_002,10,UNKNOWN,UNKNOWN,0,0
REVIEW_002,11,UNKNOWN,UNKNOWN,0,0
REVIEW_002,12,UNKNOWN,UNKNOWN,0,0
REVIEW_002,13,UNKNOWN,UNKNOWN,0,0
REVIEW_002,14,UNKNOWN,UNKNOWN,0,0
REVIEW_002,15,UNKNOWN,UNKNOWN,0,0
REVIEW_002,16,UNKNOWN,UNKNOWN,0,0
REVIEW_002,17,UNKNOWN,UNKNOWN,0,0
REVIEW_002,18,UNKNOWN,UNKNOWN,0,0
REVIEW_002,19,UNKNOWN,UNKNOWN,0,0
REVIEW_002,20,UNKNOWN,UNKNOWN,0,0
REVIEW_002,21,UNKNOWN,UNKNOWN,0,0
REVIEW_002,22,UNKNOWN,UNKNOWN,0,0
REVIEW_002,23,UNKNOWN,UNKNOWN,0,0
REVIEW_002,24,UNKNOWN,UNKNOWN,0,0
REVIEW_002,25,UNKNOWN,UNKNOWN,0,0
REVIEW_002,26,UNKNOWN,UNKNOWN,0,0
REVIEW_002,27,UNKNOWN,UNKNOWN,0,0
REVIEW_002,28,UNKNOWN,UNKNOWN,0,0
REVIEW_002,29,UNKNOWN,UNKNOWN,0,0
REVIEW_002,30,UNKNOWN,UNKNOWN,0,0
REVIEW_002,31,UNKNOWN,UNKNOWN,0,0
REVIEW_002,32,UNKNOWN,UNKNOWN,0,0
REVIEW_002,33,UNKNOWN,UNKNOWN,0,0
REVIEW_002,34,UNKNOWN,UNKNOWN,0,0
REVIEW_002,35,UNKNOWN,UNKNOWN,0,0
REVIEW_002,36,UNKNOWN,UNKNOWN,0,0
REVIEW_002,37,UNKNOWN,UNKNOWN,0,0
REVIEW_002,38,UNKNOWN,UNKNOWN,0,0
REVIEW_002,39,UNKNOWN,UNKNOWN,0,0
REVIEW_002,40,UNKNOWN,UNKNOWN,0,0
REVIEW_002,41,UNKNOWN,UNKNOWN,0,0
REVIEW_002,42,UNKNOWN,UNKNOWN,0,0
REVIEW_002,43,UNKNOWN,UNKNOWN,0,0
REVIEW_002,44,UNKNOWN,UNKNOWN,0,0
REVIEW_002,45,UNKNOWN,UNKNOWN,0,0
REVIEW_002,46,UNKNOWN,UNKNOWN,0,0
REVIEW_002,47,UNKNOWN,UNKNOWN,0,0
REVIEW_002,48,UNKNOWN,UNKNOWN,0,0
REVIEW_002,49,UNKNOWN,UNKNOWN,0,0
REVIEW_003,0,UNKNOWN,UNKNOWN,0,0
REVIEW_003,1,UNKNOWN,UNKNOWN,0,0
REVIEW_003,2,UNKNOWN,UNKNOWN,0,0
REVIEW_003,3,UNKNOWN,UNKNOWN,0,0
REVIEW_003,4,UNKNOWN,UNKNOWN,0,0
REVIEW_003,5,UNKNOWN,UNKNOWN,0,0
REVIEW_003,6,UNKNOWN,UNKNOWN,0,0
REVIEW_003,7,UNKNOWN,UNKNOWN,0,0
REVIEW_003,8,UNKNOWN,UNKNOWN,0,0
REVIEW_003,9,UNKNOWN,UNKNOWN,0,0
REVIEW_003,10,UNKNOWN,UNKNOWN,0,0
REVIEW_003,11,UNKNOWN,UNKNOWN,0,0
REVIEW_003,12,UNKNOWN,UNKNOWN,0,0
REVIEW_003,13,UNKNOWN,UNKNOWN,0,0
REVIEW_003,14,UNKNOWN,UNKNOWN,0,0
REVIEW_003,15,UNKNOWN,UNKNOWN,0,0
REVIEW_003,16,UNKNOWN,UNKNOWN,0,0
REVIEW_003,17,UNKNOWN,UNKNOWN,0,0
REVIEW_003,18,UNKNOWN,UNKNOWN,0,0
REVIEW_003,19,UNKNOWN,UNKNOWN,0,0
REVIEW_003,20,UNKNOWN,UNKNOWN,0,0
REVIEW_003,21,UNKNOWN,UNKNOWN,0,0
REVIEW_003,22,UNKNOWN,UNKNOWN,0,0
REVIEW_003,23,UNKNOWN,UNKNOWN,0,0
REVIEW_003,24,UNKNOWN,UNKNOWN,0,0
REVIEW_003,25,UNKNOWN,UNKNOWN,0,0
REVIEW_003,26,UNKNOWN,UNKNOWN,0,0
REVIEW_003,27,UNKNOWN,UNKNOWN,0,0
REVIEW_003,28,UNKNOWN,UNKNOWN,0,0
REVIEW_003,29,UNKNOWN,UNKNOWN,0,0
REVIEW_003,30,UNKNOWN,UNKNOWN,0,0
REVIEW_003,31,UNKNOWN,UNKNOWN,0,0
